index	line_number	group_isotopic	square
1	1	true	0123456710325476230176543210674545760132546710236754320176452310
2	2	false	0123456710325476231067453201765445671032547601236745321076542301
3	3	false	0123456710325476231067453201765445761230546721036745301276540321
4	4	false	0123456710325476231067453201765445763201546723106754013276451023
5	5	false	0123456710325476231067453201765446572031574631206475021375641302
6	6	false	0123456710325476231067453201765446573021574621306475031275641203
7	7	false	0123456710325476231067453201765447561320564702316574301274652103
8	8	false	0123456710325476231067453201765447651320567402316547210374563012
9	9	false	0123456710325476231067543201764545671023547601326745231076543201
10	10	false	0123456710325476231067543201764545671032547601236745230176543210
11	11	true	0123456710325476231067543201764545671032547601236754320176452310
12	12	false	0123456710325476231067543201764545673012547603216754123076452103
13	13	true	0123456710325476231067543201764545673201547623106754012376451032
14	14	false	0123456710325476231067543201764546573021574621306475031275641203
15	15	false	0123456710325476231067543201764546752301576432106457012375461032
16	16	false	0123456710325476231076453201675445671032547601236745231076543201
17	17	false	0123456710325476231076453201675445671032547601236745321076542301
18	18	true	0123456710325476231076453201675445671032547601236754231076453201
19	19	false	0123456710325476231076453201675445672310547632016754012376451032
20	20	false	0123456710325476231076543201674545671023547601326745320176542310
21	21	false	0123456710325476231076543201674545761032546701236754321076452301
22	22	false	0123456710325476231076543201674545763210546723016754012376451032
23	23	false	0123456710325476231076543201674546570321574612306475301275642103
37	37	false	0123456710325476235176403214670545761023546701326705231476403251
40	40	false	0123456710325476235476013245671046702135576130246407125375160342
46	46	false	0123456710325476246071353506172443176052527106436754231076453201
60	60	false	0123456710325476261073453745621045761032546701236251370473042651
73	73	false	0123456710325674231067453201745645761203576421306457302176450312
74	74	false	0123456710325674231067453201745646571302574602136475203175643120
75	75	false	0123456710325674231067453201745647650132567423106547102374563201
76	76	false	0123456710325674231067453201745647653012547621036547123076540321
92	92	false	0123456710326475231057463201765446751320546731026754201375460231
93	93	false	0123456710326475231076543201574645671203547621306745302176540312
113	113	true	0123456710326745230176543210547645762310546710236754320176450132
114	114	false	0123456710326745230176543210547645763201546701326754231076451023
115	115	false	0123456710326745231056743201745645760213546731206754203176451302
116	116	false	0123456710326745231056743201745646751023546723106754013275463201
117	117	false	0123456710326745231056743201745646753120574613026457203175640213
118	118	false	0123456710326745231074563201567446753120574613026457203175640213
119	119	false	0123456710326745231074563201567446753210574610326457012375642301
120	120	false	0123456710326745231076543201547646571023574601326475321075642301
121	121	false	0123456710326745231076543201547646573012574602316475132075642103
133	133	false	0123456710326754231054763201764545761023546701326754231076453201
140	140	false	0123456710327456231056743201674546751023546701326754231075463201
141	141	false	0123456710327456231067453201567445763120564702136754203174651302
142	142	false	0123456710327456231067453201567447651230547621036547301276540321
143	143	false	0123456710327456231067453201567447651302547631206547021376542031
150	150	false	0123456710327645231054763201675446573102574613206475201375640231
151	151	false	0123456710327645231067543201547647652130567412036547302174560312
152	152	false	0123456710327645231067543201547647653120567413026547203174560213
159	159	false	0123456710327654231057463201647546573012574612306574210374650321
161	161	false	0123456710327654231064753201574646573012576412306475032175462103
162	162	false	0123456710327654231064753201574647562103564712306574301274650321
163	163	false	0123456710327654231067453201547645673012547621036745123076540321
164	164	false	0123456710327654231067453201547647563102564702316574201374651320
170	170	false	0123456710327654235604713247601547015236561027436574132074653102
172	172	false	0123456710327654237451063265174047106235560124736547301274560321
219	219	false	0123456710345276247160533206714545601732531706246752341076452301
286	286	false	0123456710346275254670313451072646701352576231406207541373152604
639	639	false	0123456710362754256704133741562042051376567431026310724574526031
1028	1028	false	0123456710425376241706353201675445761023536071426735241076543201
1166	1166	false	0123456710452376236701453201675445761023541076326754320176325410
1173	1173	false	0123456710452376256170433206175443706125541706326734521076523401
1177	1177	false	0123456710452376270436513276014546125730546710236351720475306412
1182	1182	false	0123456710452673241703563762501442061735563471026570324173516420
1389	1389	false	0123456710462735231704563562704142051673573461206471530276503214
1684	1684	false	0123456710476235267054133506714243152076576403216432175072513604
1716	1716	false	0123456710476352241506733571204646301725520674316754321073625104
1759	1759	false	0123456710523746240563713574162047612035563072146247015373165402
1845	1845	false	0123456710526743234076513761542045761302543702166204317576152034
1916	1916	false	0123456710542376251760343471062542601753530671426745320176325410
1921	1921	false	0123456710542376256170433416075242701635530761246745321076325401
1955	1955	false	0123456710543276231067543201764545671032547601236732540176452310
1956	1956	false	0123456710543276231076453267015445061723547160326745231076325401
1960	1960	false	0123456710543276246107533516704242076135537016246732540176452310
1962	1962	false	0123456710543276251670433471260546305712520761346742135073650421
1963	1963	false	0123456710543276251706433471602543601752520671346742531076352401
1964	1964	false	0123456710543276257106433416702543601752520761346742531076352401
2356	2356	false	0123456710573246251670343675240147610325520461736432571073401652
2372	2372	false	0123456710573426254167033714265043621075547601326205731476305241
2412	2412	false	0123456710576234251430763645172047315602520671436472035173602415
2596	2596	false	0123456710627345261754033271605447561230534021766405371275340621
2630	2630	false	0123456710627453235067413547201647315620547631026205137476140235
2712	2712	false	0123456710643752254013763705624146327015527106346317542074562103
2929	2929	false	0123456710653274267014533407561247162305524107366354702175326140
2994	2994	false	0123456710657324231764053271504647321650560431726540271374560231
3210	3210	false	0123456710675423264173503714620545320176547610326205371473502641
3303	3303	false	0123456710725634235074163641270547361250546703216514307272056143
3439	3439	false	0123456710743652253760143461027543501726564271036705234172165430
3440	3440	false	0123456710743652271564303562107446302715534172066457012372065341
3573	3573	false	0123456710746352271654303641720545621073543701266350271472053641
3887	3887	false	0123456710763452271563403452017645672013563172046340172572045631
3954	3954	false	0123456710765432235067143641720545621073543701266714235072053641
3957	3957	false	0123456710765432253461703461702547120356564712036350271472053641
3959	3959	false	0123456710765432270436513562170446512073534702166430712572156340
3960	3960	false	0123456710765432271563043651724045671023543201766340271572043651
3961	3961	false	0123456710765432274163053614725045371026546201736205371473502641
3966	3966	false	0123456710765432275163043615724045671023543201766340271572043651
9685	9685	false	0123456712305476230167453012765446753102576402316457201375461320
9686	9686	false	0123456712305476230167543012764545671320547602316745201376543102
9752	9752	false	0123456712305674230167453012745647652031564731206574021374561302
9753	9753	false	0123456712305674230174563012674547563012567421036547123074650321
9963	9963	false	0123456712305746230176543012647547561320564731026475201375640231
10405	10405	false	0123456712306754230176453012547647561203564721306574031274653021
10407	10407	false	0123456712306754230176453756142040125376564731026475201375640231
10408	10408	false	0123456712306754230514763052764147162035564702136574312074615302
10776	10776	false	0123456712307456265137403542067147651032547621036307521470146325
10851	10851	false	0123456712307645230154763012675447651032567401236547321074562301
10852	10852	false	0123456712307645230167543012547646573120574613026475021375642031
10853	10853	false	0123456712307645230167543012547647562013564731026475132075640231
10854	10854	false	0123456712307645230167543012547647563120564713026475021375642031
15258	15258	false	0123456712365074274561033471062543601752561723406502743170543216
18434	18434	false	0123456712405376243671053064175245710623531762406705243176523014
19770	19770	false	0123456712450376240716353652704140162753576032146374512075316402
24528	24528	false	0123456712470653240517363016247547615302567032146534712073526041
24529	24529	false	0123456712470653240613753671502440152736536472016752341075306142
28831	28831	false	0123456712546073276013453675241045073126501672346431075273425601
29201	29201	false	0123456712546703267503143062147543067152541730266730524175412630
33977	33977	false	0123456712576034250671433641572047351602501432766372041574602351
36202	36202	false	0123456712607453245617303715260440375126567130426542037173046215
36815	36815	false	0123456712643075260751433472165043510726501672346745230175306412
38249	38249	false	0123456712647305250137463675021440175632534261706750142374362051
39795	39795	false	0123456712653704260473153542617047501632537102466017542374362051
46854	46854	false	0123456712746350270536413561720446372015534201766450172370165432
46856	46856	false	0123456712746350270654313657102443627105543102766540271370153642
48636	48636	false	0123456712756043243617053760512440513672534702166502743176142350
51256	51256	false	0123456712765340264710353705642145317206536201746450271370143652
51270	51270	false	0123456712765340270564313541720646371025546027136352017470143652
51370	51370	false	0123456712765430270563413641702545371206546021736352071470143652
51373	51373	false	0123456713025476203167543210764547563021564703126475213075641203
51403	51403	false	0123456713025674203167453210745647560132567423106547102374653201
51404	51404	false	0123456713025674203174563210674547653102567420136547132074560231
51643	51643	false	0123456713025746203164753210765446571302574631206475021375642031
51644	51644	false	0123456713025746203164753210765446572301574632106475012375641032
51645	51645	false	0123456713025746203164753210765446753021574612036457031275642130
51874	51874	false	0123456713026475203157463210765447652310567401326547102374563201
51875	51875	false	0123456713026475203157463647025147502613521670346574132074653102
52105	52105	false	0123456713026745203176543210547647563120564713026574203174650213
52122	52122	false	0123456713026754203154763210764545761320546731026754201376450231
52123	52123	false	0123456713026754203176453210547645673210574601236475230176541032
52124	52124	false	0123456713026754203176453210547647653102567413206457023175462013
52327	52327	false	0123456713027456203156743210674547653021567421306547120374560312
52566	52566	false	0123456713027645203154763210675445763021546703126745120376542130
52567	52567	false	0123456713027645203167543576241042105376546732016754102376450132
54511	54511	false	0123456713047652257064313467102540513276521607436745231076325104
55617	55617	false	0123456713056742206413753546721042715603541730266732045176502134
56098	56098	false	0123456713057624275013463647021545162703523461706472503170613452
56316	56316	false	0123456713062475204157363510762446573210547263016735104272640153
57545	57545	false	0123456713067245245167303765042142705316561430726047215375321604
58364	58364	false	0123456713072645203617543674502142150376576034126541723074526103
58852	58852	false	0123456713075426257016433645071247162305506132746254703174326150
59339	59339	false	0123456713076245245671303765042142105376567430126532170470412653
65841	65841	false	0123456713462075207513463704625145670123541076326251370476325410
66354	66354	false	0123456713465702203516743514702646570213547261306701234572603451
68761	68761	false	0123456713475620206574133210674545763201540123766754013276321054
68787	68787	false	0123456713475620245063713705124642367015561207346071245375643102
68950	68950	false	0123456713475620276504313610275445061372527460136431720570523146
71661	71661	false	0123456713520746260134753476105245376120524076316715230470645213
72580	72580	false	0123456713527406203456713245671046702135576130246407125375160342
75148	75148	false	0123456713560274207431563460172545327601521760436701543276452310
75149	75149	false	0123456713560274207431563460172547025631564720136531740272156340
78628	78628	false	0123456713572640241630753740625142351706560273146574013270615423
83309	83309	false	0123456713642705250763143472105642513670501674236745013276305241
85446	85446	false	0123456713652074203174563516074242706135564713206754320174025613
85461	85461	false	0123456713652074204713563254761045760132571264036430572176013245
88145	88145	false	0123456713672450204156733256074147106235567231046534701274051326
89059	89059	false	0123456713675402207536413214705646320715570621346540127374516320
95813	95813	false	0123456713756024263407513450127640627315570136426517243072465103
96609	96609	false	0123456713760254205431763460172547325601564720136501743272156340
97643	97643	false	0123456713762405271506433540172646075312506132746452713072346051
98103	98103	false	0123456713765204203761453760145246527013521407366405237175413620
100718	100718	false	0123456714053276264071353564271042710653573264016317504270561324
108473	108473	false	0123456714326705256074313706512442573610564102736075134273142056
111090	111090	false	0123456714357620264150733274610545160732506723146750324173021456
119984	119984	false	0123456714526703250176343214507646752310576032416037142573460152
123523	123523	false	0123456714567320267431053517604243650271570124366240571370321654
126802	126802	false	0123456714603752263571403054127643710625571623046247503175026413
129315	129315	false	0123456714625073265073413705621445312706527416306347012570163452
130243	130243	false	0123456714627053235467013201567445760132503714266710324576452310
130668	130668	false	0123456714627350234761053274501647350621561027436501347270561234
135087	135087	false	0123456714675032261537043751264045760123503214766304721572406351
136423	136423	false	0123456714703625264750313054127643610752521673046735214075026413
143390	143390	false	0123456714762305203517463650721445173620570164326342507172640153
147354	147354	false	0123456715046273205731463216705446302715574206316375142074615302
149500	149500	false	0123456715063274205473163471062543601752571264036237504176452130
