alpha	beta	gamma	count_for_fixed_alpha_representative	witness_rho
10	2+2+2+2+2	4+2+2+2	10	2,6,0,9,8,7,1,5,4,3
10	2+2+2+2+2	6+4	65	2,3,0,1,6,8,4,9,5,7
10	2+2+2+2+2	8+2	105	2,3,0,1,7,9,8,4,6,5
10	4+2+2+2	2+2+2+2+2	10	1,5,9,8,7,6,0,4,3,2
10	4+2+2+2	4+4+2	525	1,2,3,0,6,8,4,9,5,7
10	4+2+2+2	6+2+2	725	1,2,3,0,7,9,8,4,6,5
10	4+2+2+2	10	3240	1,2,4,5,0,3,8,9,6,7
10	4+4+2	4+2+2+2	525	1,2,3,0,5,7,9,8,4,6
10	4+4+2	6+4	4200	1,2,4,5,0,6,8,9,3,7
10	4+4+2	8+2	6300	1,2,3,0,5,6,8,9,4,7
10	6+2+2	4+2+2+2	725	1,2,6,0,7,9,8,4,3,5
10	6+2+2	6+4	5500	1,2,3,4,6,8,0,9,5,7
10	6+2+2	8+2	8400	1,2,3,4,7,9,8,0,6,5
10	6+4	2+2+2+2+2	65	1,2,9,0,5,7,3,8,4,6
10	6+4	4+4+2	4200	1,2,3,0,5,6,9,8,4,7
10	6+4	6+2+2	5500	1,2,3,0,5,6,8,4,9,7
10	6+4	10	27360	1,2,3,4,6,7,0,8,9,5
10	8+2	2+2+2+2+2	105	1,2,9,0,6,8,7,3,5,4
10	8+2	4+4+2	6300	1,2,3,4,5,7,9,8,0,6
10	8+2	6+2+2	8400	1,2,3,5,0,7,9,8,4,6
10	8+2	10	40320	1,2,3,4,5,6,8,9,0,7
10	10	4+2+2+2	3240	1,2,4,0,5,7,3,8,9,6
10	10	6+4	27360	1,2,3,4,5,6,8,0,9,7
10	10	8+2	40320	1,2,3,4,5,7,0,8,9,6
2+2+2+2+2	4+2+2+2	6+2+2	480	2,3,0,1,6,8,4,9,7,5
2+2+2+2+2	4+2+2+2	10	3840	2,4,0,6,1,8,3,9,7,5
2+2+2+2+2	4+4+2	6+4	2400	2,3,1,0,6,8,4,9,7,5
2+2+2+2+2	4+4+2	8+2	7680	2,3,0,4,6,8,1,9,7,5
2+2+2+2+2	6+2+2	4+2+2+2	480	2,3,0,1,6,8,5,9,7,4
2+2+2+2+2	6+2+2	6+4	5760	2,4,0,6,1,8,5,9,7,3
2+2+2+2+2	6+2+2	8+2	9600	2,3,0,4,6,8,5,9,1,7
2+2+2+2+2	6+4	4+4+2	2400	2,3,1,0,6,8,5,9,7,4
2+2+2+2+2	6+4	6+2+2	5760	2,4,1,6,8,3,9,0,7,5
2+2+2+2+2	6+4	10	24960	2,3,1,4,6,8,0,9,7,5
2+2+2+2+2	8+2	4+4+2	7680	2,3,0,4,6,8,5,9,7,1
2+2+2+2+2	8+2	6+2+2	9600	2,3,0,4,6,8,9,1,7,5
2+2+2+2+2	8+2	10	40320	2,3,1,4,6,8,5,9,0,7
2+2+2+2+2	10	4+2+2+2	3840	2,4,1,6,8,0,9,3,7,5
2+2+2+2+2	10	6+4	24960	2,3,1,4,6,8,5,9,7,0
2+2+2+2+2	10	8+2	40320	2,3,1,4,6,8,9,0,7,5
4+2+2+2	2+2+2+2+2	6+2+2	24	2,4,0,5,1,3,8,9,6,7
4+2+2+2	2+2+2+2+2	10	192	2,4,0,6,1,8,3,9,5,7
4+2+2+2	4+2+2+2	4+2+2+2	96	1,3,4,5,2,0,8,9,6,7
